timestep,consumption_eur
2006-09-01,68536.54166666667
2006-09-02,64822.583333333336
2006-09-03,63299.875
2006-09-04,69115.29166666667
2006-09-05,69807.29166666667
2006-09-06,69744.66666666667
2006-09-07,72203.20833333333
2006-09-08,71383.45833333333
2006-09-09,67304.625
2006-09-10,65893.54166666667
2006-09-11,71824.0
2006-09-12,72595.20833333333
2006-09-13,73054.20833333333
2006-09-14,73054.20833333333
2006-09-15,73688.95833333333
2006-09-16,69484.625
2006-09-17,68694.625
2006-09-18,74640.5
2006-09-19,75124.58333333333
2006-09-20,75860.45833333333
2006-09-21,76409.75
2006-09-22,75457.75
2006-09-23,71040.91666666667
2006-09-24,69931.75
2006-09-25,75491.70833333333
2006-09-26,75921.58333333333
2006-09-27,75808.79166666667
2006-09-28,76560.66666666667
2006-09-29,76704.125
2006-09-30,72165.75
2006-10-01,71021.0
2006-10-02,76944.29166666667
2006-10-03,77463.875
2006-10-04,78570.58333333333
2006-10-05,78101.79166666667
2006-10-06,79661.91666666667
2006-10-07,74739.29166666667
2006-10-08,73284.41666666667
2006-10-09,79528.375
2006-10-10,80276.625
2006-10-11,81075.04166666667
2006-10-12,82118.91666666667
2006-10-13,82254.58333333333
2006-10-14,77592.25
2006-10-15,76912.83333333333
2006-10-16,83911.70833333333
2006-10-17,84848.41666666667
2006-10-18,86394.04166666667
2006-10-19,86496.66666666667
2006-10-20,87027.5
2006-10-21,82290.625
2006-10-22,81208.66666666667
2006-10-23,87090.70833333333
2006-10-24,86750.75
2006-10-25,86511.875
2006-10-26,85695.75
2006-10-27,84978.0
2006-10-28,81194.91666666667
2006-10-29,79733.5
2006-10-30,85623.79166666667
2006-10-31,86035.45833333333
2006-11-01,87282.75
2006-11-02,87515.125
2006-11-03,87287.08333333333
2006-11-04,82817.41666666667
2006-11-05,81628.66666666667
2006-11-06,82233.0
2006-11-07,87748.20833333333
2006-11-08,89293.5
2006-11-09,89900.16666666667
2006-11-10,89555.625
2006-11-11,84216.95833333333
2006-11-12,83501.125
2006-11-13,89742.0
2006-11-14,90639.0
2006-11-15,90586.83333333333
2006-11-16,91054.91666666667
2006-11-17,90866.95833333333
2006-11-18,86370.125
2006-11-19,85314.91666666667
2006-11-20,91382.58333333333
2006-11-21,92332.08333333333
2006-11-22,92944.79166666667
2006-11-23,92855.08333333333
2006-11-24,92242.5
2006-11-25,87358.33333333333
2006-11-26,85971.54166666667
2006-11-27,92906.58333333333
2006-11-28,93085.54166666667
2006-11-29,93541.75
2006-11-30,93512.625
2006-12-01,93241.58333333333
2006-12-02,88426.75
2006-12-03,86242.25
2006-12-04,92280.75
2006-12-05,91989.41666666667
2006-12-06,92041.41666666667
2006-12-07,91813.66666666667
2006-12-08,91256.625
2006-12-09,86371.625
2006-12-10,84668.41666666667
2006-12-11,91277.08333333333
2006-12-12,91418.45833333333
2006-12-13,91891.16666666667
2006-12-14,92109.45833333333
2006-12-15,92015.58333333333
2006-12-16,87216.29166666667
2006-12-17,85238.83333333333
2006-12-18,91870.70833333333
2006-12-19,92382.79166666667
2006-12-20,92783.29166666667
2006-12-21,93897.5
2006-12-22,94426.25
2006-12-23,89668.54166666667
2006-12-24,87901.66666666667
2006-12-25,94331.25
2006-12-26,95094.91666666667
2006-12-27,95664.5
2006-12-28,95522.04166666667
2006-12-29,94791.45833333333
2006-12-30,89934.20833333333
2006-12-31,87469.20833333333
2007-01-01,82845.16666666667
2007-01-02,84244.125
2007-01-03,85183.45833333333
2007-01-04,85631.33333333333
2007-01-05,85668.83333333333
2007-01-06,85285.375
2007-01-07,84385.70833333333
2007-01-08,86162.625
2007-01-09,91293.125
2007-01-10,91771.5
2007-01-11,91735.58333333333
2007-01-12,90696.75
2007-01-13,85976.20833333333
2007-01-14,85238.66666666667
2007-01-15,91009.58333333333
2007-01-16,91621.45833333333
2007-01-17,91605.54166666667
2007-01-18,91640.66666666667
2007-01-19,91605.91666666667
2007-01-20,86870.41666666667
2007-01-21,84832.5
2007-01-22,91468.45833333333
2007-01-23,91966.5
2007-01-24,92995.54166666667
2007-01-25,93349.95833333333
2007-01-26,94645.625
2007-01-27,90112.45833333333
2007-01-28,88593.04166666667
2007-01-29,94292.70833333333
2007-01-30,95729.75
2007-01-31,96034.70833333333
2007-02-01,96361.70833333333
2007-02-02,96238.5
2007-02-03,91545.04166666667
2007-02-04,89543.45833333333
2007-02-05,95815.33333333333
2007-02-06,96504.125
2007-02-07,96275.83333333333
2007-02-08,96926.125
2007-02-09,97091.54166666667
2007-02-10,92040.16666666667
2007-02-11,90047.58333333333
2007-02-12,97396.0
2007-02-13,96632.54166666667
2007-02-14,96158.41666666667
2007-02-15,96049.25
2007-02-16,95542.70833333333
2007-02-17,91289.54166666667
2007-02-18,89527.5
2007-02-19,96309.70833333333
2007-02-20,97013.04166666667
2007-02-21,97490.91666666667
2007-02-22,97121.0
2007-02-23,92390.875
2007-02-24,91916.08333333333
2007-02-25,91127.875
2007-02-26,97818.375
2007-02-27,98100.79166666667
2007-02-28,97621.5
2007-03-01,96494.95833333333
2007-03-02,95134.45833333333
2007-03-03,89232.0
2007-03-04,87537.875
2007-03-05,93625.54166666667
2007-03-06,92842.375
2007-03-07,91321.08333333333
2007-03-08,85469.70833333333
2007-03-09,89877.16666666667
2007-03-10,83891.25
2007-03-11,83441.08333333333
2007-03-12,89199.25
2007-03-13,88654.08333333333
2007-03-14,89068.83333333333
2007-03-15,89079.54166666667
2007-03-16,88241.83333333333
2007-03-17,83956.875
2007-03-18,82819.375
2007-03-19,88428.875
2007-03-20,87484.70833333333
2007-03-21,86985.25
2007-03-22,85831.95833333333
2007-03-23,85115.0
2007-03-24,81135.70833333333
2007-03-25,79831.875
2007-03-26,85233.16666666667
2007-03-27,85568.125
2007-03-28,85125.375
2007-03-29,84179.875
2007-03-30,83732.29166666667
2007-03-31,79623.5
2007-04-01,77935.91666666667
2007-04-02,83419.29166666667
2007-04-03,83168.125
2007-04-04,83236.625
2007-04-05,83250.375
2007-04-06,83498.83333333333
2007-04-07,79400.45833333333
2007-04-08,77280.41666666667
2007-04-09,83461.75
2007-04-10,83063.29166666667
2007-04-11,83206.08333333333
2007-04-12,83292.70833333333
2007-04-13,83410.54166666667
2007-04-14,78084.41666666667
2007-04-15,75865.95833333333
2007-04-16,82600.375
2007-04-17,82526.29166666667
2007-04-18,81963.33333333333
2007-04-19,81218.33333333333
2007-04-20,81109.125
2007-04-21,77497.66666666667
2007-04-22,75310.375
2007-04-23,80793.5
2007-04-24,81382.25
2007-04-25,81198.70833333333
2007-04-26,80808.08333333333
2007-04-27,80375.16666666667
2007-04-28,79051.20833333333
2007-04-29,74993.16666666667
2007-04-30,74409.29166666667
2007-05-01,73444.375
2007-05-02,79898.125
2007-05-03,79642.83333333333
2007-05-04,80756.08333333333
2007-05-05,76288.70833333333
2007-05-06,74341.54166666667
2007-05-07,79949.33333333333
2007-05-08,79100.29166666667
2007-05-09,73956.54166666667
2007-05-10,79040.5
2007-05-11,77539.29166666667
2007-05-12,73810.54166666667
2007-05-13,71851.95833333333
2007-05-14,77022.20833333333
2007-05-15,76621.91666666667
2007-05-16,76011.625
2007-05-17,75216.16666666667
2007-05-18,74352.41666666667
2007-05-19,69673.5
2007-05-20,67018.25
2007-05-21,72302.58333333333
2007-05-22,72157.58333333333
2007-05-23,72504.375
2007-05-24,72869.25
2007-05-25,73078.33333333333
2007-05-26,68326.375
2007-05-27,67330.95833333333
2007-05-28,72880.66666666667
2007-05-29,72906.41666666667
2007-05-30,73108.29166666667
2007-05-31,72949.5
2007-06-01,73346.33333333333
2007-06-02,69283.0
2007-06-03,66871.33333333333
2007-06-04,72954.25
2007-06-05,73307.20833333333
2007-06-06,72811.95833333333
2007-06-07,72667.29166666667
2007-06-08,73201.5
2007-06-09,71867.66666666667
2007-06-10,67245.125
2007-06-11,66810.375
2007-06-12,65649.25
2007-06-13,70729.41666666667
2007-06-14,71415.79166666667
2007-06-15,70736.5
2007-06-16,66167.95833333333
2007-06-17,65062.458333333336
2007-06-18,70761.08333333333
2007-06-19,71380.875
2007-06-20,71334.08333333333
2007-06-21,71034.79166666667
2007-06-22,70712.75
2007-06-23,66236.08333333333
2007-06-24,64628.958333333336
2007-06-25,70247.45833333333
2007-06-26,70405.58333333333
2007-06-27,70628.33333333333
2007-06-28,70858.375
2007-06-29,70695.04166666667
2007-06-30,66033.625
2007-07-01,64497.416666666664
2007-07-02,70143.29166666667
2007-07-03,70479.875
2007-07-04,69999.95833333333
2007-07-05,70038.79166666667
2007-07-06,71153.375
2007-07-07,66957.16666666667
2007-07-08,65191.291666666664
2007-07-09,71079.58333333333
2007-07-10,71230.79166666667
2007-07-11,71602.08333333333
2007-07-12,71533.5
2007-07-13,71317.16666666667
2007-07-14,66673.45833333333
2007-07-15,64787.958333333336
2007-07-16,71015.20833333333
2007-07-17,71444.375
2007-07-18,71841.58333333333
2007-07-19,71663.08333333333
2007-07-20,71799.25
2007-07-21,66761.875
2007-07-22,65217.833333333336
2007-07-23,71507.41666666667
2007-07-24,72247.0
2007-07-25,72507.875
2007-07-26,72131.66666666667
2007-07-27,71770.54166666667
2007-07-28,67535.79166666667
2007-07-29,65607.625
2007-07-30,71568.54166666667
2007-07-31,71889.41666666667
2007-08-01,72177.08333333333
2007-08-02,71864.58333333333
2007-08-03,71874.125
2007-08-04,68076.33333333333
2007-08-05,66583.08333333333
2007-08-06,72003.33333333333
2007-08-07,72194.625
2007-08-08,72274.70833333333
2007-08-09,72685.58333333333
2007-08-10,72590.79166666667
2007-08-11,68276.25
2007-08-12,66689.45833333333
2007-08-13,72524.95833333333
2007-08-14,72803.875
2007-08-15,72757.79166666667
2007-08-16,73286.375
2007-08-17,73122.75
2007-08-18,68387.375
2007-08-19,67453.16666666667
2007-08-20,73096.125
2007-08-21,73582.70833333333
2007-08-22,73703.58333333333
2007-08-23,74056.04166666667
2007-08-24,74336.45833333333
2007-08-25,69776.54166666667
2007-08-26,67874.95833333333
2007-08-27,73591.66666666667
2007-08-28,73966.58333333333
2007-08-29,74337.54166666667
2007-08-30,74326.58333333333
2007-08-31,73955.66666666667
2007-09-01,70133.875
2007-09-02,68606.04166666667
2007-09-03,74243.45833333333
2007-09-04,74878.70833333333
2007-09-05,74926.625
2007-09-06,75274.16666666667
2007-09-07,74933.20833333333
2007-09-08,71067.54166666667
2007-09-09,69338.29166666667
2007-09-10,74767.29166666667
2007-09-11,75954.0
2007-09-12,76812.16666666667
2007-09-13,76989.58333333333
2007-09-14,77302.83333333333
2007-09-15,73345.91666666667
2007-09-16,72095.75
2007-09-17,77688.79166666667
2007-09-18,78108.58333333333
2007-09-19,78600.54166666667
2007-09-20,78977.5
2007-09-21,78454.375
2007-09-22,75095.0
2007-09-23,73280.0
2007-09-24,78797.04166666667
2007-09-25,78733.54166666667
2007-09-26,78539.33333333333
2007-09-27,78905.58333333333
2007-09-28,78243.33333333333
2007-09-29,74089.625
2007-09-30,72204.91666666667
2007-10-01,78408.04166666667
2007-10-02,78526.04166666667
2007-10-03,78806.54166666667
2007-10-04,78537.20833333333
2007-10-05,78837.125
2007-10-06,74614.33333333333
2007-10-07,72907.875
2007-10-08,79983.08333333333
2007-10-09,80617.20833333333
2007-10-10,81277.5
2007-10-11,82027.79166666667
2007-10-12,82803.5
2007-10-13,78807.33333333333
2007-10-14,77803.83333333333
2007-10-15,84485.33333333333
2007-10-16,85586.20833333333
2007-10-17,86146.20833333333
2007-10-18,86627.875
2007-10-19,86181.54166666667
2007-10-20,81570.95833333333
2007-10-21,79983.58333333333
2007-10-22,86262.5
2007-10-23,86277.125
2007-10-24,86538.45833333333
2007-10-25,86323.66666666667
2007-10-26,86494.08333333333
2007-10-27,82390.08333333333
2007-10-28,79941.45833333333
2007-10-29,86820.04166666667
2007-10-30,87735.33333333333
2007-10-31,88251.5
2007-11-01,88106.45833333333
2007-11-02,87649.375
2007-11-03,83442.66666666667
2007-11-04,81988.58333333333
2007-11-05,83125.33333333333
2007-11-06,88966.91666666667
2007-11-07,89907.95833333333
2007-11-08,91333.75
2007-11-09,92576.45833333333
2007-11-10,88727.25
2007-11-11,87295.66666666667
2007-11-12,93251.29166666667
2007-11-13,93965.91666666667
2007-11-14,94477.45833333333
2007-11-15,94852.375
2007-11-16,94556.625
2007-11-17,90323.45833333333
2007-11-18,88645.45833333333
2007-11-19,94615.70833333333
2007-11-20,94961.75
2007-11-21,95916.29166666667
2007-11-22,96274.54166666667
2007-11-23,95888.04166666667
2007-11-24,90634.29166666667
2007-11-25,88383.04166666667
2007-11-26,95355.41666666667
2007-11-27,96075.125
2007-11-28,95746.25
2007-11-29,95924.08333333333
2007-11-30,95851.375
2007-12-01,91540.375
2007-12-02,90010.33333333333
2007-12-03,96362.75
2007-12-04,96518.16666666667
2007-12-05,96787.125
2007-12-06,96636.20833333333
2007-12-07,96343.33333333333
2007-12-08,92106.25
2007-12-09,90143.375
2007-12-10,96684.625
2007-12-11,97170.58333333333
2007-12-12,98001.08333333333
2007-12-13,97845.33333333333
2007-12-14,98031.625
2007-12-15,93134.70833333333
2007-12-16,91480.91666666667
2007-12-17,97334.125
2007-12-18,97193.45833333333
2007-12-19,97461.25
